Education,Income,Recency,Wine,Fruits,Meat,Fish,Sweets,Gold,DealsPurchases,Web,Catalog,Store,WebVisits,Promo3,Promo4,Promo5,Promo1,Promo2,Complain,Z_CostContact,Z_Revenue,Promo6,Age,Age_Range,Customer_For,WebConversionRate,Total_Spent,Total_Purchases,Adults,Dependents,Household_size,Is_Parent,Offers_Accepted,cluster
Postgraduate,81698.0,4,179,28,520,111,123,47,1,3,8,13,1,0,0,0,0,0,0,3,11,1,65,Retirement Age,420.0,3.0,1008,24,2,0,2,0,1,1
Postgraduate,43462.0,50,90,17,97,15,6,15,6,4,1,5,8,0,0,0,0,0,0,3,11,0,62,Pre-retirement,840.0,0.5,240,10,2,2,4,1,0,3
PhD,54880.0,57,308,85,137,102,45,118,2,6,2,11,5,0,0,0,0,0,0,3,11,0,36,Midlife,670.0,1.2,795,19,1,1,2,1,0,0
Postgraduate,79908.0,30,557,129,761,29,185,111,1,5,6,7,2,0,0,1,0,0,0,3,11,0,32,Early Adulthood,635.0,2.5,1772,18,2,0,2,0,1,1
2n Cycle,15315.0,27,7,4,13,15,8,17,2,2,0,4,5,0,0,0,0,0,0,3,11,0,44,Midlife,515.0,0.4,64,6,2,0,2,0,0,2
Postgraduate,87771.0,61,1492,38,287,50,57,33,1,5,10,4,6,0,1,1,1,1,0,3,11,1,55,Pre-retirement,588.0,0.8333333333333334,1957,19,2,1,3,1,5,1
Postgraduate,33039.0,4,30,8,12,8,8,12,1,2,0,4,5,0,0,0,0,0,0,3,11,0,36,Midlife,478.0,0.4,78,6,2,1,3,1,0,3
Postgraduate,81741.0,75,249,153,940,58,134,38,0,6,6,7,2,0,0,0,0,0,0,3,11,0,34,Early Adulthood,563.0,3.0,1572,19,1,0,1,0,0,1
Postgraduate,71499.0,12,465,25,132,136,0,37,2,8,3,13,4,0,0,0,0,0,0,3,11,0,43,Midlife,554.0,2.0,795,24,2,1,3,1,0,1
2n Cycle,62466.0,13,129,129,259,168,121,83,5,6,3,12,4,0,0,0,0,0,0,3,11,0,44,Midlife,350.0,1.5,889,21,2,1,3,1,0,0
PhD,48799.0,9,174,18,81,28,6,24,3,3,2,7,3,0,0,0,0,0,0,3,11,0,51,Middle Age,421.0,1.0,331,12,1,1,2,1,0,3
PhD,52157.0,48,189,2,29,3,2,40,2,3,2,5,4,0,0,0,0,0,0,3,11,0,64,Pre-retirement,207.0,0.75,265,10,2,1,3,1,0,3
Postgraduate,66565.0,80,747,10,161,65,40,42,4,4,2,9,8,0,0,0,0,0,0,3,11,0,52,Middle Age,756.0,0.5,1065,15,1,1,2,1,0,0
Postgraduate,29298.0,60,6,0,2,2,0,1,1,1,0,2,5,0,0,0,0,0,0,3,11,0,63,Pre-retirement,480.0,0.2,11,3,2,2,4,1,0,2
Postgraduate,47691.0,43,14,0,3,0,0,4,1,1,0,2,6,0,0,0,0,0,0,3,11,0,35,Midlife,544.0,0.16666666666666666,21,3,1,1,2,1,0,3
Postgraduate,38200.0,19,12,0,4,0,0,1,1,1,0,2,7,0,0,0,0,0,0,3,11,0,44,Midlife,754.0,0.14285714285714285,17,3,2,2,4,1,0,3
Postgraduate,44989.0,26,98,0,106,49,10,106,5,5,1,5,6,0,0,0,0,0,0,3,11,0,40,Midlife,840.0,0.8333333333333334,369,11,2,1,3,1,0,3
PhD,38443.0,58,32,0,5,0,0,1,2,1,0,3,7,0,0,0,0,0,0,3,11,0,46,Middle Age,338.0,0.14285714285714285,38,4,2,2,4,1,0,3
2n Cycle,38593.0,42,51,12,49,17,24,24,3,4,1,3,8,0,0,0,0,0,0,3,11,0,36,Midlife,474.0,0.5,177,8,1,1,2,1,0,3
PhD,64413.0,27,200,5,44,0,10,20,1,5,1,5,5,0,0,0,0,0,0,3,11,0,44,Midlife,517.0,1.0,279,11,2,1,3,1,0,0
Postgraduate,36959.0,56,25,6,25,6,0,0,2,2,0,3,8,0,0,0,0,0,0,3,11,0,33,Early Adulthood,455.0,0.25,62,5,2,1,3,1,0,3
PhD,61996.0,27,1050,12,144,0,0,24,3,6,4,8,5,0,1,0,1,1,0,3,11,1,37,Midlife,699.0,1.2,1230,18,2,1,3,1,4,0
Postgraduate,51287.0,10,117,0,22,13,0,30,3,4,1,3,7,0,0,0,0,0,0,3,11,0,46,Middle Age,274.0,0.5714285714285714,182,8,2,2,4,1,0,3
Postgraduate,13260.0,48,9,4,17,10,2,7,4,3,0,3,8,0,0,0,0,0,0,3,11,0,44,Midlife,495.0,0.375,49,6,2,2,4,1,0,2
PhD,47472.0,39,56,0,11,0,0,8,2,2,0,4,5,0,0,0,0,0,0,3,11,0,48,Middle Age,471.0,0.4,75,6,2,2,4,1,0,3
Postgraduate,54603.0,85,145,13,46,17,2,4,6,4,2,4,7,0,0,0,0,0,0,3,11,0,58,Pre-retirement,540.0,0.5714285714285714,227,10,2,2,4,1,0,0
PhD,45207.0,64,203,0,10,0,0,2,5,3,1,6,6,0,1,0,0,0,0,3,11,0,40,Midlife,781.0,0.5,215,10,2,2,4,1,1,3
Postgraduate,40689.0,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,3,11,0,63,Pre-retirement,653.0,0.875,444,13,2,1,3,1,0,3
2n Cycle,47821.0,54,9,0,16,6,6,10,1,1,0,3,8,0,0,0,0,0,0,3,11,0,47,Middle Age,437.0,0.125,47,4,2,2,4,1,0,3
Postgraduate,27450.0,57,37,12,23,8,11,52,1,2,1,3,7,0,0,0,0,0,0,3,11,0,63,Pre-retirement,625.0,0.2857142857142857,143,6,2,0,2,0,0,2
Postgraduate,39453.0,64,46,0,7,0,0,2,2,2,0,3,6,0,0,0,0,0,0,3,11,0,31,Early Adulthood,272.0,0.3333333333333333,55,5,2,1,3,1,0,3
2n Cycle,26850.0,10,31,1,13,7,2,9,4,2,1,4,4,0,0,0,0,0,0,3,11,0,43,Midlife,257.0,0.5,63,7,2,2,4,1,0,2
Postgraduate,79800.0,65,1060,21,530,32,0,224,1,5,11,5,3,1,0,1,1,0,0,3,11,1,59,Pre-retirement,829.0,1.6666666666666667,1867,21,1,0,1,0,4,1
Postgraduate,61794.0,74,264,47,188,54,47,11,2,4,4,10,2,0,0,0,0,0,0,3,11,0,53,Middle Age,473.0,2.0,611,18,2,1,3,1,0,0
Postgraduate,53863.0,4,399,4,30,6,4,30,3,7,1,7,7,0,1,0,0,0,0,3,11,0,59,Pre-retirement,228.0,1.0,473,15,2,1,3,1,1,0
Postgraduate,24221.0,94,8,9,9,2,5,22,1,1,1,3,4,0,0,0,0,0,0,3,11,0,55,Pre-retirement,498.0,0.25,55,5,2,0,2,0,0,2
PhD,39684.0,41,19,0,35,6,4,17,2,2,1,2,7,0,0,0,0,0,1,3,11,1,30,Early Adulthood,810.0,0.2857142857142857,81,5,1,1,2,1,1,3
Postgraduate,92163.0,25,817,183,797,106,163,20,0,5,11,5,2,0,0,1,1,0,0,3,11,1,39,Midlife,749.0,2.5,2086,21,2,0,2,0,3,1
Postgraduate,69882.0,94,292,127,635,132,127,165,1,3,7,9,1,0,0,0,0,0,0,3,11,0,49,Middle Age,416.0,3.0,1478,19,1,0,1,0,0,1
Postgraduate,33178.0,9,12,6,2,11,2,16,1,1,0,3,4,0,0,0,0,0,0,3,11,0,37,Midlife,335.0,0.25,49,4,2,1,3,1,0,3
PhD,59973.0,47,130,30,168,20,34,0,1,3,4,7,1,0,0,0,0,0,0,3,11,0,42,Midlife,476.0,3.0,382,14,2,0,2,0,0,0
Postgraduate,17459.0,12,6,4,16,3,10,30,3,3,1,2,7,0,0,0,0,0,0,3,11,1,39,Midlife,468.0,0.42857142857142855,69,6,2,1,3,1,1,2
Postgraduate,23910.0,80,16,12,18,7,1,13,1,2,0,3,7,0,0,0,0,0,0,3,11,0,45,Middle Age,796.0,0.2857142857142857,67,5,1,1,2,1,0,2
Postgraduate,42169.0,20,19,0,9,0,0,2,2,1,0,3,8,0,0,0,0,0,0,3,11,0,45,Middle Age,438.0,0.125,30,4,2,2,4,1,0,3
2n Cycle,26224.0,39,4,7,15,13,9,15,3,2,1,3,6,0,0,0,0,0,0,3,11,0,36,Midlife,575.0,0.3333333333333333,63,6,2,1,3,1,0,2
Postgraduate,31089.0,57,31,3,31,2,8,4,3,3,0,4,8,0,0,0,0,0,0,3,11,0,33,Early Adulthood,866.0,0.375,79,7,2,1,3,1,0,2
Postgraduate,30081.0,27,36,0,2,0,0,4,1,1,0,3,7,0,0,0,0,0,0,3,11,0,53,Middle Age,678.0,0.14285714285714285,42,4,1,1,2,1,0,2
Postgraduate,62807.0,83,526,28,135,10,21,99,3,5,3,12,5,0,0,0,0,0,0,3,11,0,54,Middle Age,852.0,1.0,819,20,2,1,3,1,0,0
Postgraduate,72906.0,79,400,32,519,71,75,54,1,3,4,9,1,0,0,0,0,0,0,3,11,0,59,Pre-retirement,470.0,3.0,1151,16,1,0,1,0,0,1
PhD,61467.0,69,410,16,114,0,5,49,3,5,2,10,5,0,0,0,0,0,0,3,11,0,66,Retirement Age,752.0,1.0,594,17,2,2,4,1,0,0
Postgraduate,49618.0,77,80,3,26,4,2,14,4,3,1,3,7,0,0,0,0,0,0,3,11,0,48,Middle Age,704.0,0.42857142857142855,129,7,2,2,4,1,0,3
Postgraduate,21888.0,15,88,10,46,2,3,64,4,5,1,2,10,0,0,0,0,0,0,3,11,1,28,Early Adulthood,732.0,0.5,213,8,1,1,2,1,1,2
Postgraduate,42429.0,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,3,11,0,41,Midlife,323.0,0.2,67,5,1,1,2,1,0,3
Postgraduate,26150.0,61,5,1,13,3,5,1,1,1,0,3,7,0,0,0,0,0,0,3,11,0,58,Pre-retirement,660.0,0.14285714285714285,28,4,1,3,4,1,0,2
Basic,30801.0,23,8,4,5,15,2,11,2,1,0,3,7,0,0,0,0,0,0,3,11,0,39,Midlife,796.0,0.14285714285714285,45,4,2,1,3,1,0,2
Postgraduate,81168.0,84,410,0,592,147,22,22,1,6,4,7,3,0,0,0,1,0,0,3,11,0,49,Middle Age,238.0,2.0,1193,17,2,0,2,0,1,1
Postgraduate,26877.0,74,101,13,76,20,18,40,2,3,1,6,6,0,0,0,0,0,0,3,11,0,45,Middle Age,499.0,0.5,268,10,1,0,1,0,0,2
Postgraduate,45006.0,90,162,25,53,16,0,10,1,3,1,7,3,0,0,0,0,0,0,3,11,0,70,Retirement Age,531.0,1.0,266,11,1,0,1,0,0,3
Basic,18978.0,41,2,8,1,4,7,15,1,1,0,3,8,0,0,0,0,0,0,3,11,0,41,Midlife,750.0,0.125,37,4,2,1,3,1,0,2
Postgraduate,22574.0,28,25,0,8,2,0,2,2,2,0,3,7,0,0,0,0,0,0,3,11,0,47,Middle Age,429.0,0.2857142857142857,37,5,2,3,5,1,0,2
PhD,48240.0,73,389,91,248,64,49,41,3,6,3,13,5,0,0,0,0,0,0,3,11,1,45,Middle Age,782.0,1.2,882,22,1,0,1,0,1,0
Postgraduate,45837.0,88,215,13,87,17,17,24,5,6,2,5,7,0,0,0,0,0,0,3,11,0,40,Midlife,523.0,0.8571428571428571,373,13,2,2,4,1,0,3
Postgraduate,35791.0,94,27,0,5,0,0,3,2,1,0,3,8,0,0,0,0,0,0,3,11,0,49,Middle Age,604.0,0.125,35,4,1,3,4,1,0,3
PhD,162397.0,31,85,1,16,2,1,2,0,0,0,1,1,0,0,0,0,0,0,3,11,0,38,Midlife,576.0,0.0,107,1,2,2,4,1,0,4
Postgraduate,54162.0,31,5,6,10,6,5,10,1,1,0,3,4,0,0,0,0,0,0,3,11,0,36,Midlife,653.0,0.25,42,4,1,2,3,1,0,0
Postgraduate,30522.0,6,179,8,83,19,11,26,5,1,2,9,2,0,0,0,0,0,0,3,11,0,54,Middle Age,866.0,0.5,326,12,2,1,3,1,0,2
PhD,54456.0,23,352,0,27,10,0,15,3,6,1,7,6,0,0,0,0,0,0,3,11,0,53,Middle Age,538.0,1.0,404,14,2,1,3,1,0,0
Postgraduate,31632.0,92,17,8,12,11,15,32,1,2,1,2,7,0,0,0,0,0,0,3,11,0,43,Midlife,535.0,0.2857142857142857,95,5,1,0,1,0,0,2
Postgraduate,72298.0,52,625,35,169,58,17,35,1,4,3,6,1,0,1,1,0,0,0,3,11,0,65,Retirement Age,296.0,4.0,939,13,1,0,1,0,2,1
2n Cycle,36975.0,50,10,6,11,0,4,2,1,1,0,3,7,0,0,0,0,0,0,3,11,0,36,Midlife,368.0,0.14285714285714285,33,4,1,1,2,1,0,3
2n Cycle,72635.0,54,390,22,323,104,35,107,1,6,8,6,3,0,0,0,1,0,0,3,11,0,59,Pre-retirement,576.0,2.0,981,20,2,0,2,0,1,1
Postgraduate,13624.0,93,10,2,15,2,1,6,2,2,0,3,6,0,0,0,0,0,0,3,11,0,38,Midlife,710.0,0.3333333333333333,36,5,2,1,3,1,0,2
Postgraduate,84196.0,56,215,63,507,231,31,190,1,8,4,7,3,0,0,0,0,0,0,3,11,0,39,Midlife,576.0,2.6666666666666665,1237,19,1,1,2,1,0,1
Postgraduate,70971.0,28,1001,17,572,93,125,17,7,11,11,5,7,0,0,0,0,0,0,3,11,1,54,Middle Age,831.0,1.5714285714285714,1825,27,2,1,3,1,1,1
PhD,34487.0,94,19,18,33,24,1,8,3,3,0,3,9,0,0,0,0,0,0,3,11,0,37,Midlife,846.0,0.3333333333333333,103,6,1,2,3,1,0,3
Postgraduate,28769.0,76,41,5,129,10,3,3,3,4,1,4,9,0,0,0,0,0,0,3,11,0,37,Midlife,743.0,0.4444444444444444,191,9,1,1,2,1,0,2
PhD,69084.0,43,1181,107,199,39,30,30,2,7,3,13,8,0,0,0,0,0,0,3,11,0,44,Midlife,407.0,0.875,1586,23,2,1,3,1,0,0
PhD,65488.0,46,603,45,207,36,18,54,1,3,4,6,1,0,0,0,0,0,0,3,11,0,56,Pre-retirement,201.0,3.0,963,13,2,0,2,0,0,0
2n Cycle,62466.0,13,129,129,259,168,121,83,5,6,3,12,4,0,0,0,0,0,0,3,11,0,44,Midlife,350.0,1.5,889,21,2,1,3,1,0,0
2n Cycle,32218.0,27,10,24,15,13,1,30,1,2,1,3,7,1,0,0,0,0,0,3,11,1,54,Middle Age,319.0,0.2857142857142857,93,6,1,0,1,0,2,2
Postgraduate,83917.0,12,514,22,732,42,198,79,1,6,7,7,3,0,0,0,0,0,0,3,11,1,41,Midlife,622.0,2.0,1587,20,1,0,1,0,1,1
Postgraduate,46102.0,3,14,0,1,0,0,1,1,1,0,2,7,0,0,0,0,0,0,3,11,0,52,Middle Age,296.0,0.14285714285714285,16,3,1,3,4,1,0,3
Postgraduate,84574.0,72,387,20,713,38,54,163,1,9,11,11,5,0,0,0,0,0,0,3,11,0,62,Pre-retirement,575.0,1.8,1375,31,1,0,1,0,0,1
Postgraduate,56181.0,6,121,103,69,8,44,48,1,4,2,7,4,0,0,0,0,0,0,3,11,0,52,Middle Age,722.0,1.0,393,13,2,1,3,1,0,0
Postgraduate,63120.0,53,965,69,279,54,41,69,5,8,4,9,7,0,0,0,0,0,0,3,11,1,64,Pre-retirement,824.0,1.1428571428571428,1477,21,1,1,2,1,1,0
Postgraduate,73691.0,58,707,21,250,85,43,73,2,6,2,8,2,1,0,0,0,0,0,3,11,0,43,Midlife,420.0,3.0,1179,16,2,1,3,1,1,1
Postgraduate,63381.0,78,571,50,142,33,50,159,4,4,5,13,2,0,0,0,0,0,0,3,11,0,54,Middle Age,817.0,2.0,1005,22,2,1,3,1,0,0
PhD,76140.0,57,586,66,653,17,0,26,1,5,9,6,2,0,0,0,0,0,0,3,11,0,66,Retirement Age,232.0,2.5,1348,20,2,0,2,0,0,1
PhD,62859.0,37,1063,89,102,16,12,25,4,9,4,6,6,0,0,0,0,0,0,3,11,0,55,Pre-retirement,731.0,1.5,1307,19,1,1,2,1,0,0
Postgraduate,45906.0,20,305,3,27,4,3,144,2,5,4,4,5,1,0,0,0,0,0,3,11,0,50,Middle Age,603.0,1.0,486,13,1,1,2,1,1,3
Postgraduate,77632.0,73,1200,105,758,0,42,147,1,4,2,6,2,0,1,1,0,0,0,3,11,1,67,Retirement Age,661.0,2.0,2252,12,2,0,2,0,3,1
PhD,46463.0,56,163,2,40,8,11,11,7,3,1,6,6,0,0,0,0,0,0,3,11,0,43,Midlife,500.0,0.5,235,10,2,2,4,1,0,3
Postgraduate,105471.0,36,1009,181,104,202,21,207,0,9,8,13,3,0,0,1,1,0,0,3,11,1,44,Midlife,709.0,3.0,1724,30,2,0,2,0,3,1
Postgraduate,55282.0,9,125,6,73,8,4,19,1,3,1,6,4,0,0,0,0,0,0,3,11,0,44,Midlife,383.0,0.75,235,10,1,1,2,1,0,0
Postgraduate,78710.0,42,721,0,152,119,50,50,3,7,6,12,4,0,0,0,0,0,0,3,11,0,37,Midlife,222.0,1.75,1092,25,2,1,3,1,0,1
Postgraduate,66886.0,28,315,4,62,41,31,146,2,7,1,7,5,0,0,0,0,0,0,3,11,0,56,Pre-retirement,471.0,1.4,599,15,2,1,3,1,0,0
Postgraduate,98777.0,23,1000,19,711,125,115,38,0,4,6,9,1,0,1,0,0,0,0,3,11,0,54,Middle Age,317.0,4.0,2008,19,1,0,1,0,1,1
Postgraduate,29103.0,38,16,0,17,6,3,6,2,1,0,3,9,0,0,0,0,0,0,3,11,0,29,Early Adulthood,856.0,0.1111111111111111,48,4,2,1,3,1,0,2
Postgraduate,67445.0,63,757,80,217,29,80,11,5,9,6,12,6,0,0,0,0,0,0,3,11,0,40,Midlife,871.0,1.5,1174,27,2,1,3,1,0,0
PhD,50616.0,71,30,2,25,0,1,9,1,1,1,4,2,0,0,0,0,0,0,3,11,0,64,Pre-retirement,262.0,0.5,67,6,2,1,3,1,0,3
Postgraduate,49431.0,9,219,3,100,26,0,17,2,7,1,5,8,0,0,0,0,0,0,3,11,0,59,Pre-retirement,880.0,0.875,365,13,1,1,2,1,0,3
Postgraduate,153924.0,81,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3,11,0,39,Midlife,327.0,0.0,6,0,1,0,1,0,0,4
Postgraduate,61278.0,87,111,3,28,2,6,15,2,3,1,4,6,0,0,0,0,0,0,3,11,0,61,Pre-retirement,361.0,0.5,165,8,2,1,3,1,0,0
2n Cycle,26490.0,92,45,47,52,21,20,25,2,3,1,5,6,0,0,0,0,0,0,3,11,0,56,Pre-retirement,830.0,0.5,210,9,2,0,2,0,0,2
PhD,73059.0,36,410,112,420,0,82,71,1,9,3,13,4,0,0,0,0,0,0,3,11,0,67,Retirement Age,487.0,2.25,1095,25,2,1,3,1,0,1
PhD,46734.0,86,100,1,39,6,1,76,4,3,2,3,6,1,0,0,0,0,0,3,11,0,48,Middle Age,436.0,0.5,223,8,1,3,4,1,1,3
Postgraduate,56253.0,83,509,0,65,7,11,5,4,7,2,9,6,0,0,0,0,0,0,3,11,0,51,Middle Age,754.0,1.1666666666666667,597,18,2,1,3,1,0,0
Postgraduate,19986.0,74,3,6,5,0,2,6,1,0,0,3,7,0,0,0,0,0,0,3,11,0,29,Early Adulthood,412.0,0.0,22,3,2,1,3,1,0,2
Postgraduate,58330.0,87,445,53,213,104,98,151,1,6,4,13,4,0,0,0,0,0,0,3,11,0,39,Midlife,371.0,1.5,1064,23,1,1,2,1,0,0
Basic,25965.0,29,2,2,11,41,7,11,1,2,0,3,8,0,0,0,0,0,0,3,11,0,34,Early Adulthood,845.0,0.25,74,5,2,0,2,0,0,2
Postgraduate,14661.0,88,4,1,11,6,2,2,1,1,0,3,6,0,0,0,0,0,0,3,11,0,58,Pre-retirement,729.0,0.16666666666666666,26,4,2,0,2,0,0,2
Postgraduate,18690.0,77,6,1,7,23,4,19,1,1,1,2,8,0,0,0,0,0,0,3,11,0,55,Pre-retirement,733.0,0.125,60,4,2,0,2,0,0,2
PhD,45068.0,25,14,0,3,0,0,3,1,1,0,2,7,0,0,0,0,0,0,3,11,0,40,Midlife,594.0,0.14285714285714285,20,3,2,1,3,1,0,3
Basic,21063.0,34,1,10,11,19,3,15,2,2,0,3,6,0,0,0,0,0,0,3,11,0,27,Early Adulthood,462.0,0.3333333333333333,59,5,1,1,2,1,0,2
PhD,29187.0,43,26,0,6,0,0,2,1,1,0,3,8,0,0,0,0,0,0,3,11,0,46,Middle Age,601.0,0.125,34,4,2,1,3,1,0,2
2n Cycle,54690.0,76,111,16,37,7,9,18,3,3,1,5,3,0,0,0,0,0,0,3,11,0,43,Midlife,419.0,1.0,198,9,2,2,4,1,0,0
PhD,59304.0,81,418,61,428,80,51,10,3,7,8,10,5,0,0,0,0,0,0,3,11,0,50,Middle Age,520.0,1.4,1048,25,2,1,3,1,0,0
Postgraduate,59247.0,87,327,9,122,19,14,83,5,5,2,9,6,0,0,0,0,0,0,3,11,0,52,Middle Age,418.0,0.8333333333333334,574,16,1,2,3,1,0,0
Postgraduate,66731.0,33,371,159,194,58,106,141,4,4,3,6,3,0,0,0,0,0,0,3,11,0,44,Midlife,840.0,1.3333333333333333,1029,13,1,1,2,1,0,0
Postgraduate,77353.0,38,275,59,107,69,101,59,2,6,4,8,4,0,0,0,0,0,0,3,11,0,34,Early Adulthood,380.0,1.5,670,18,2,1,3,1,0,1
PhD,52614.0,63,789,0,142,12,9,38,2,2,4,8,8,0,0,0,0,0,0,3,11,0,39,Midlife,760.0,0.25,990,14,1,1,2,1,0,0
Postgraduate,26751.0,26,1,1,5,0,3,1,1,1,0,2,8,0,0,0,0,0,0,3,11,0,40,Midlife,223.0,0.125,11,3,2,2,4,1,0,2
PhD,81300.0,17,1004,12,145,32,12,36,3,10,3,5,5,0,0,0,1,0,0,3,11,1,51,Middle Age,792.0,2.0,1241,18,2,1,3,1,2,1
Postgraduate,70337.0,75,187,81,149,25,43,91,1,2,2,12,1,0,0,0,0,0,0,3,11,0,35,Midlife,363.0,2.0,576,16,1,0,1,0,0,0
2n Cycle,36145.0,13,56,4,76,17,1,18,4,4,1,3,9,1,0,0,0,0,0,3,11,1,29,Early Adulthood,563.0,0.4444444444444444,172,8,2,1,3,1,2,3
PhD,65295.0,19,365,32,117,34,110,6,1,3,3,13,2,0,0,0,0,0,0,3,11,0,34,Early Adulthood,373.0,1.5,664,19,1,0,1,0,0,0
Postgraduate,68118.0,51,595,23,123,10,23,154,2,8,9,4,6,0,0,0,0,0,0,3,11,0,51,Middle Age,439.0,1.3333333333333333,928,21,1,1,2,1,0,0
Postgraduate,68743.0,81,1132,134,384,175,134,115,1,11,5,13,7,0,0,0,0,0,0,3,11,0,47,Middle Age,853.0,1.5714285714285714,2074,29,1,0,1,0,0,1
2n Cycle,41039.0,32,34,11,137,179,61,45,1,8,1,5,8,0,0,0,0,0,0,3,11,0,32,Early Adulthood,524.0,1.0,467,14,2,0,2,0,0,3
Postgraduate,38946.0,84,116,6,82,6,6,41,2,3,1,6,5,0,0,0,0,0,0,3,11,0,59,Pre-retirement,433.0,0.6,257,10,2,1,3,1,0,3
Postgraduate,65777.0,87,565,32,435,28,32,54,1,2,8,6,1,0,0,0,0,0,0,3,11,0,47,Middle Age,377.0,2.0,1146,16,2,0,2,0,0,0
PhD,66476.0,99,372,18,126,47,48,78,2,5,2,11,4,0,0,0,0,0,0,3,11,0,38,Midlife,664.0,1.25,689,18,1,1,2,1,0,0
PhD,86857.0,96,899,102,838,133,102,40,1,5,6,10,2,0,0,0,0,0,0,3,11,1,42,Midlife,840.0,2.5,2114,21,1,0,1,0,1,1
PhD,160803.0,21,55,16,1622,17,3,4,15,0,28,1,0,0,0,0,0,0,0,3,11,0,32,Early Adulthood,879.0,0.0,1717,29,2,0,2,0,0,4
PhD,77845.0,40,760,40,480,0,40,26,1,3,5,12,1,0,0,1,1,0,0,3,11,0,25,Early Adulthood,229.0,3.0,1346,20,2,0,2,0,2,1
PhD,69476.0,3,260,86,559,63,9,67,1,4,6,4,2,0,0,0,0,0,0,3,11,0,45,Middle Age,457.0,2.0,1044,14,2,0,2,0,0,0
PhD,50611.0,98,459,0,24,6,0,4,6,4,5,7,6,0,1,0,0,0,0,3,11,1,54,Middle Age,818.0,0.6666666666666666,493,16,1,1,2,1,2,0
Postgraduate,61209.0,73,466,0,224,119,49,99,1,5,3,4,2,0,0,0,0,0,0,3,11,0,44,Midlife,493.0,2.5,957,12,1,0,1,0,0,0
Postgraduate,42315.0,90,67,15,80,17,11,80,3,1,4,4,3,0,0,0,0,0,0,3,11,0,56,Pre-retirement,537.0,0.3333333333333333,270,9,2,1,3,1,0,3
Basic,13084.0,29,2,0,7,3,7,10,1,1,0,3,6,0,0,0,0,0,0,3,11,0,62,Pre-retirement,424.0,0.16666666666666666,29,4,2,0,2,0,0,2
Postgraduate,47570.0,3,67,1,20,0,2,31,3,2,2,2,7,0,0,0,0,0,0,3,11,1,65,Retirement Age,581.0,0.2857142857142857,121,6,1,2,3,1,1,3
Postgraduate,61923.0,94,92,4,18,3,3,6,1,2,1,4,3,0,0,0,0,0,0,3,11,0,53,Middle Age,523.0,0.6666666666666666,126,7,2,2,4,1,0,0
Postgraduate,34824.0,65,4,2,11,2,0,4,1,1,0,2,6,0,0,0,0,0,0,3,11,0,19,Young Adults,280.0,0.16666666666666666,23,3,1,0,1,0,0,3
PhD,26518.0,33,20,1,28,3,3,2,3,2,0,3,8,0,0,0,0,0,0,3,11,1,65,Retirement Age,632.0,0.25,57,5,1,2,3,1,1,2
Postgraduate,45938.0,46,273,11,178,62,83,29,2,8,4,6,6,0,0,0,0,0,0,3,11,0,53,Middle Age,423.0,1.3333333333333333,636,18,1,0,1,0,0,3
Postgraduate,78468.0,29,434,22,388,104,22,34,1,10,7,10,4,0,0,0,1,0,0,3,11,0,54,Middle Age,266.0,2.5,1004,27,2,0,2,0,1,1
Postgraduate,78901.0,99,321,11,309,33,26,34,3,9,3,5,4,0,0,0,0,0,0,3,11,0,41,Midlife,470.0,2.25,734,17,1,1,2,1,0,1
Postgraduate,71427.0,26,212,123,177,15,64,23,2,8,2,8,4,0,0,0,0,0,0,3,11,0,36,Midlife,294.0,2.0,614,18,2,2,4,1,0,0
Postgraduate,71022.0,30,909,12,278,0,12,242,3,5,2,11,8,1,0,0,0,0,0,3,11,0,36,Midlife,323.0,0.625,1453,18,1,1,2,1,1,1
Postgraduate,90247.0,27,1184,32,352,21,16,16,1,3,4,7,1,0,1,1,1,0,0,3,11,1,26,Early Adulthood,246.0,3.0,1621,14,1,0,1,0,4,1
Postgraduate,41335.0,24,112,19,21,16,14,5,3,4,1,4,7,0,0,0,0,0,0,3,11,0,46,Middle Age,370.0,0.5714285714285714,187,9,1,1,2,1,0,3
Postgraduate,71952.0,93,656,80,455,52,107,93,2,8,4,8,4,1,0,1,0,0,0,3,11,0,28,Early Adulthood,720.0,2.0,1443,20,2,1,3,1,2,1
PhD,35682.0,34,23,0,8,6,2,18,1,1,1,3,2,0,0,0,0,0,0,3,11,0,44,Midlife,187.0,0.5,57,5,1,1,2,1,0,3
Postgraduate,43185.0,88,537,6,42,16,6,30,2,9,3,6,8,0,0,0,0,0,0,3,11,0,63,Pre-retirement,630.0,1.125,637,18,1,1,2,1,0,3
PhD,66375.0,96,712,0,45,0,0,191,3,2,4,5,7,1,0,0,0,0,0,3,11,0,66,Retirement Age,405.0,0.2857142857142857,948,11,2,1,3,1,1,0
Postgraduate,35178.0,10,23,1,13,2,2,18,1,1,1,2,7,1,0,0,0,0,0,3,11,1,43,Midlife,720.0,0.14285714285714285,59,4,2,1,3,1,2,3
Postgraduate,25252.0,26,1,3,4,2,2,6,1,1,0,2,8,0,0,0,0,0,0,3,11,0,28,Early Adulthood,537.0,0.125,18,3,2,1,3,1,0,2
Postgraduate,55250.0,49,664,58,83,32,0,66,4,7,5,10,5,0,0,0,0,0,0,3,11,0,49,Middle Age,801.0,1.4,903,22,1,1,2,1,0,0
